info:    Executing command vm image list
info:    Fetching VM images
data:    Name                                                                                                                Category                                   OS     
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_04_2-LTS-amd64-server-20121218-en-us-30GB                               Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_04_2-LTS-amd64-server-20130225-en-us-30GB                               Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_04_2-LTS-amd64-server-20130325-en-us-30GB                               Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_04_2-LTS-amd64-server-20130415-en-us-30GB                               Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_04_2-LTS-amd64-server-20130516-en-us-30GB                               Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_04_2-LTS-amd64-server-20130527-en-us-30GB                               Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_04_2-LTS-amd64-server-20130603-en-us-30GB                               Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_04_2-LTS-amd64-server-20130624-en-us-30GB                               Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_04_3-LTS-amd64-server-20130827-en-us-30GB                               Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_04_3-LTS-amd64-server-20130909-en-us-30GB                               Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_04_3-LTS-amd64-server-20130916.1-en-us-30GB                             Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_04_3-LTS-amd64-server-20131003-en-us-30GB                               Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_04_3-LTS-amd64-server-20131024-en-us-30GB                               Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_04_3-LTS-amd64-server-20131111-en-us-30GB                               Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_04_3-LTS-amd64-server-20131114-en-us-30GB                               Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_04_3-LTS-amd64-server-20131205-en-us-30GB                               Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_10-amd64-server-20121218-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_10-amd64-server-20130227-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_10-amd64-server-20130414-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_10-amd64-server-20130526-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_10-amd64-server-20130602-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_10-amd64-server-20130616-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_10-amd64-server-20130707-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_10-amd64-server-20130821-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_10-amd64-server-20130908-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_10-amd64-server-20130929-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_10-amd64-server-20131023-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_10-amd64-server-20131110-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_10-amd64-server-20131113-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_10-amd64-server-20131211-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-12_10-amd64-server-20140108-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_04-amd64-server-20130423-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_04-amd64-server-20130501-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_04-amd64-server-20130525-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_04-amd64-server-20130601-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_04-amd64-server-20130615-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_04-amd64-server-20130706-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_04-amd64-server-20130820-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_04-amd64-server-20130824-en-us-30GB                                     Canonical                                  Linux  
